year,month,SPEI
1996,11,-0.6229112310275682
1996,12,-0.16261758424493392
1997,1,0.3425976621725167
1997,2,-0.1356529451083324
1997,3,-0.45263300673307355
1997,4,-1.6214249661716036
1997,5,0.08247102169908216
1997,6,-0.8572256802360652
1997,7,-1.41215559432009
1997,8,-1.1275630186341479
1997,9,-0.7721502795937332
1997,10,0.3411600123901596
1997,11,-1.044760005869023
1997,12,-0.8674650711619036
1998,1,-0.8766975333800682
1998,2,-1.0907584407962307
1998,3,-1.5820228891895858
1998,4,-2.156479792627855
1998,5,-1.3900188134791895
1998,6,-0.3607168685501883
1998,7,0.3942340435937984
1998,8,1.1495090236228176
1998,9,0.9801625393306053
1998,10,1.0800687327801237
1998,11,0.2647550824108642
1998,12,0.6313095746588631
1999,1,0.7172472978040072
1999,2,-1.1636751821842548
1999,3,0.7587489851481114
1999,4,0.7738632191590995
1999,5,0.43759037480232804
1999,6,-0.2865131482417385
1999,7,-0.910415559432009
1999,8,-0.9352733823505437
1999,9,-1.0228183374362152
1999,10,-0.6566357130047767
1999,11,-0.6049739317563051
1999,12,-0.41204336555861687
2000,1,0.5371691419814474
2000,2,0.7067466375389231
2000,3,-0.06584339490373173
2000,4,-0.24296313927517568
2000,5,-0.21287546259312998
2000,6,-1.3279954025986729
2000,7,-1.4494004140921763
2000,8,-1.2445582092958802
2000,9,-0.45973289424346664
2000,10,-0.0351366341153263
2000,11,-0.02888768972431895
2000,12,0.641599178336784
2001,1,1.6543374036094491
2001,2,1.785329235885815
2001,3,0.5376743670421754
2001,4,-1.523804235478244
2001,5,-1.22699166924795
2001,6,-1.361987577234712
2001,7,-0.367505110940837
2001,8,-0.688508061755164
2001,9,-0.98457897911606
2001,10,-1.4823401098811522
2001,11,-2.251730709662694
2001,12,-1.770313471038002
2002,1,-1.832635386947945
2002,2,-1.6486425275925596
2002,3,-1.8297296336751496
2002,4,-0.17284324817815744
2002,5,-1.4234827760478652
2002,6,-0.3933502013400936
2002,7,-0.5801823635859731
2002,8,0.14231578604150705
2002,9,-0.7974125108006325
2002,10,-0.8032482433688192
2002,11,-1.2250251552845661
2002,12,0.9630587391382318
2003,1,0.002252335382057093
2003,2,-0.5481820375291413
2003,3,-1.4011147557019188
2003,4,-1.4503776716281647
2003,5,-1.984497562725183
2003,6,-1.3786332675785389
2003,7,-0.3555222289245015
2003,8,-0.11436414026964901
2003,9,-0.31497500774384973
2003,10,-0.36491713265622194
2003,11,0.43937961166631345
2003,12,1.2176403267089453
2004,1,-0.14047356494236946
2004,2,-0.07749382937445998
2004,3,0.16209025253101614
2004,4,-0.9300306167364971
2004,5,-0.7719227571365689
2004,6,-1.6633767749718777
2004,7,-0.25913200410831605
2004,8,-1.0663323823342408
2004,9,-0.5291592950651299
2004,10,-1.6682561176413049
2004,11,-0.9503752914132934
2004,12,-0.3880643636185787
2005,1,1.5261449974730597
2005,2,1.4805268752343534
2005,3,-0.6260722215882228
2005,4,0.33804789774857763
2005,5,0.9627556367074782
2005,6,1.9028707673747534
2005,7,1.5361770488596163
2005,8,1.2996585858915208
2005,9,0.396953455387274
2005,10,-0.28106887950569787
2005,11,-1.621668921893086
2005,12,-1.3957563703353495
2006,1,-0.6607871990087872
2006,2,0.8897694778199841
2006,3,-0.10233812093447889
2006,4,0.6727173576354359
2006,5,-0.820785438301896
2006,6,0.3077365134742986
2006,7,-0.8119187140318558
2006,8,-0.1961127178467207
2006,9,-1.1209852459283653
2006,10,-0.6011606971095061
2006,11,-1.029329268491498
2006,12,-0.21268168701804727
2007,1,-0.6627315411076151
2007,2,-1.0479157469146874
2007,3,0.8605580788731476
2007,4,0.559424248846574
2007,5,0.86629514664406
2007,6,-1.4141184238412756
2007,7,-1.6690137432954564
2007,8,-1.7432985539379513
2007,9,-0.6848263584342752
2007,10,-0.3962513246058788
